region;state;city;state_cod;city_code;region_code;health_region_name;date;epi_week;population_2019;accumulated_cases;new_cases;accumulated_deaths;new_deaths;new_recovered;new_in_care;rural_or_city
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;10/10/2020;41;219536;8097;5;168;-1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;11/10/2020;42;219536;8101;4;168;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;12/10/2020;42;219536;8144;43;168;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;13/10/2020;42;219536;8148;4;168;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;14/10/2020;42;219536;8195;47;168;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;15/10/2020;42;219536;8215;20;168;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;16/10/2020;42;219536;8260;45;170;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;17/10/2020;42;219536;8272;12;171;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;18/10/2020;43;219536;8279;7;171;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;19/10/2020;43;219536;8316;37;171;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;20/10/2020;43;219536;8349;33;172;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;21/10/2020;43;219536;8385;36;172;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;22/10/2020;43;219536;8441;56;172;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;23/10/2020;43;219536;8506;65;172;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;24/10/2020;43;219536;8554;48;173;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;25/10/2020;44;219536;8589;35;174;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;26/10/2020;44;219536;8592;3;174;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;27/10/2020;44;219536;8638;46;174;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;28/10/2020;44;219536;8689;51;174;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;29/10/2020;44;219536;8716;27;174;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;30/10/2020;44;219536;8755;39;175;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;31/10/2020;44;219536;8902;147;175;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;01/11/2020;45;219536;8961;59;177;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;02/11/2020;45;219536;9026;65;177;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;03/11/2020;45;219536;9077;51;178;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;04/11/2020;45;219536;9107;30;180;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;05/11/2020;45;219536;9161;54;180;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;06/11/2020;45;219536;9201;40;180;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;07/11/2020;45;219536;9251;50;180;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;08/11/2020;46;219536;9303;52;180;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;09/11/2020;46;219536;9315;12;180;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;10/11/2020;46;219536;9421;106;180;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;11/11/2020;46;219536;9472;51;180;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;12/11/2020;46;219536;9499;27;181;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;13/11/2020;46;219536;9586;87;180;-1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;14/11/2020;46;219536;9631;45;180;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;15/11/2020;47;219536;9705;74;182;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;16/11/2020;47;219536;9716;11;182;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;17/11/2020;47;219536;9838;122;185;3;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;18/11/2020;47;219536;9981;143;185;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;19/11/2020;47;219536;10102;121;185;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;20/11/2020;47;219536;10250;148;185;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;21/11/2020;47;219536;10378;128;186;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;22/11/2020;48;219536;10433;55;188;2;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;23/11/2020;48;219536;10454;21;188;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;24/11/2020;48;219536;10602;148;192;4;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;25/11/2020;48;219536;10746;144;193;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;26/11/2020;48;219536;10910;164;193;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;27/11/2020;48;219536;10984;74;193;0;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;28/11/2020;48;219536;11318;334;194;1;;;0
Sul;SC;Itajaí;42;420820;42005;FOZ DO RIO ITAJAI;29/11/2020;49;219536;11383;65;195;1;;;0
